store,network,sales_2025,share,cum_share
EMPORIO NOVA ERA MANAUS,EMPORIO NOVA ERA,46915.75000000004,0.0018757933796457002,0.8483290661711915
HIROTA MOOCA 09 SP,HIROTA,46803.649999999856,0.0018713113786575754,0.8502003775498491
PA V.N.CONCEICAO 0174,GPA,46544.72999999984,0.0018609591958222186,0.8520613367456713
PA PQ PRADO 2373,GPA,46152.74999999984,0.001845286985765819,0.8539066237314371
BOA JUNDIAI 15,BOA,45631.46000000011,0.0018244446816168926,0.855731068413054
NATURAL DA TERRA ST CECILIA SP,NATURAL DA TERRA,45157.40999999997,0.00180549113506544,0.8575365595481195
PA IBIRAPUERA 1205,GPA,44721.52999999999,0.0017880637078513397,0.8593246232559708
PA SOUZA 1878,GPA,44691.98999999984,0.0017868826346203882,0.8611115058905912
ST MARCHE SP COTOXO 23,ST MARCHE,44259.01999999999,0.001769571555514013,0.8628810774461052
BONFLEX JD EUROPA,FRUTTIMIX,44118.48000000014,0.0017639524616793174,0.8646450299077845
PA CANTAREIRA 1291,GPA,43968.80999999985,0.0017579683306544033,0.8664029982384389
PA JABAQUARA 2336,GPA,43872.2,0.0017541056534424373,0.8681571038918814
OBA SP MOOCA,OBA,43301.79999999988,0.0017312998250425902,0.869888403716924
CENOURAO RP 02,CENOURAO,42668.89000000004,0.0017059947113459903,0.87159439842827
PA RUBEM BERTA 1026,GPA,41856.73999999985,0.0016735231939285,0.8732679216221986
PA SHOP IGUATEM 1203,GPA,41622.47999999983,0.0016641569713461938,0.8749320785935447
OBA SP ANALIA FRANCO,OBA,41272.59999999997,0.0016501680105458192,0.8765822466040906
PA PCA PANAMERICANA 2408 (LOJA,GPA,41197.07999999983,0.0016471485572485552,0.8782293951613391
PA SUMARE 0062,GPA,40307.15999999982,0.001611567626656711,0.8798409627879958
PA CASA VERDE 2318,GPA,40204.85999999977,0.0016074774509110851,0.8814484402389069
SAN MICHEL POCOS DE CALDAS 04,SAN MICHEL,40096.730000000134,0.0016031541791283596,0.8830515944180353
PA VILA LEOPOLDINA 1696,GPA,39809.97999999975,0.0015916892925686408,0.8846432837106039
PA AFONSO BRAZ 0011,GPA,38965.19999999986,0.0015579131570223287,0.8862011968676262
PA CASTELO 0026,GPA,38871.6399999999,0.0015541724254215428,0.8877553692930478
SUPERMERCADO CPS TAQUARAL,SUP. TAQUARAL,38840.8500000001,0.0015529413744811034,0.8893083106675289
OBA CPS BONFIM,OBA,38748.41999999994,0.0015492458227296991,0.8908575564902587
BOA JUNDIAI CENTRO 13,BOA,38748.250000000065,0.0015492390257612117,0.8924067955160199
SAVEGNAGO SAO CARLOS 29,SAVEGNAGO,38253.2500000001,0.0015294478527985169,0.8939362433688184
PA MARIA AMALIA 2380,GPA,38219.54999999989,0.001528100453750341,0.8954643438225687
PA S.J.C SHOPPING 1175,GPA,38198.01999999994,0.0015272396376818848,0.8969915834602505
