store,network,state,city,sales_2024,sales_2025,qty_2024,qty_2025,price_2025,sort_2025,growth_abs,growth_pct
ENXUTO PIRACICABA,ENXUTO,SP,PIRACICABA,63519.93999999983,77830.51999999954,22414.0,28313.0,2.748932292586428,24,14310.57999999971,0.22529271910520943
OBA CPS GALERIA SHOPPING,OBA,SP,CAMPINAS,0.0,77659.93000000002,0.0,23721.0,3.2738893807175087,20,77659.93000000002,
PA VILA CLEMENTINO 2053,GPA,SP,SAO PAULO,71408.56999999982,77642.6499999998,16779.0,17872.0,4.344373880931054,13,6234.079999999987,0.08730156618456308
PA ALAMEDA SANTOS 2406,GPA,SP,SAO PAULO,72335.0599999999,76108.3399999999,17550.0,18230.0,4.17489522764673,17,3773.279999999999,0.05216391608716453
NATURAL DA TERRA BROOKLIM SP,NATURAL DA TERRA,SP,SAO PAULO,20032.529999999984,75516.50000000007,5946.0,22883.0,3.3001136214657203,24,55483.97000000009,2.7696935933703895
PA BROOKLIN 0061,GPA,SP,SAO PAULO,68152.50999999965,75039.97999999984,16384.0,17462.0,4.2973302027259095,17,6887.47000000019,0.1010596675016111
ST MARCHE SP PANAMBY 02,ST MARCHE,SP,SAO PAULO,2919.88,74760.92000000003,708.0,19154.0,3.90314921165292,25,71841.04000000002,24.60410701809664
PA CLODOMIRO 2459 (LOJA II),GPA,SP,SAO PAULO,59980.46999999986,74495.51999999957,14735.0,17821.0,4.180209864766263,17,14515.049999999705,0.2419962697858109
OBA CPS PONTE PRETA,OBA,SP,CAMPINAS,61032.43999999969,74118.90999999979,19458.0,21658.0,3.422241665897118,22,13086.470000000096,0.21441826674470432
SAVEGNAGO ARARAQUARA 30,SAVEGNAGO,SP,ARARAQUARA,95692.12000000014,73402.41000000013,33346.0,25378.0,2.892363858460089,29,-22289.710000000006,-0.23293150992997091
SAN MICHEL POCOS DE CALDAS 02,SAN MICHEL,MG,POCOS DE CALDAS,48332.54999999992,73294.9399999999,20921.0,30960.0,2.367407622739015,26,24962.389999999978,0.5164716117812946
PA JOAO DE LUCA 1395,GPA,SP,SAO PAULO,79189.40999999995,73175.44999999978,18411.0,16810.0,4.353090422367625,15,-6013.9600000001665,-0.07594399301624011
D AOLIO PEDREIRA,DAOLIO,SP,PEDREIRA,84743.83999999982,73028.53999999989,27310.0,25428.0,2.87197341513292,23,-11715.29999999993,-0.13824367647253133
BIGLAR,BIGLAR,SP,SAO PAULO,100702.81000000008,72838.93000000011,34609.0,24013.0,3.0333123724649194,16,-27863.879999999976,-0.2766941657338058
ST MARCHE SP SAO GABRIEL 27,ST MARCHE,SP,SAO PAULO,5114.000000000001,72333.5299999999,1248.0,18373.0,3.936947150710276,27,67219.5299999999,13.144217833398491
ST MARCHE SP SOCRATES 30,ST MARCHE,SP,SAO PAULO,5719.9100000000035,72179.54999999984,1456.0,18014.0,4.006858554457636,27,66459.63999999984,11.61900099826742
CARREFOUR CPS D.PEDRO BIG WMB,CARREFOUR,SP,CAMPINAS,74161.13000000051,72168.34999999977,17828.0,16831.0,4.287823064583196,21,-1992.780000000741,-0.026870949781923836
HORTIFRUTI PRIMAVERA,H.FARTURA,SP,CAMPINAS,46078.280000000064,70565.60999999977,12303.0,19928.0,3.54102820152548,23,24487.329999999703,0.5314289075026166
ST MARCHE HIGIENOPOLIS 20,ST MARCHE,SP,SAO PAULO,4041.750000000002,68926.95000000001,923.0,15907.0,4.333120638712518,25,64885.20000000001,16.053739098162918
COVABRA 19 PEDREIRA,COVABRA,SP,PEDREIRA,63696.68000000059,68312.40000000008,20676.0,24126.0,2.831484705297193,28,4615.719999999492,0.07246405935127931
PA REBOUCAS 0183,GPA,SP,SAO PAULO,56391.119999999835,67769.57999999977,13792.0,16243.0,4.172232961891262,17,11378.459999999934,0.20177751390644416
PA GRANJA VIANA 1290,GPA,SP,COTIA,59480.29999999972,67395.64999999994,14875.0,16613.0,4.056801902124838,17,7915.350000000217,0.13307515261355873
