network,sales_2024,sales_2025,qty_2024,qty_2025,price_2024,price_2025,sort_2024,sort_2025,registered_stores,active_stores_2024,active_stores_2025,ticket_registered_2025,ticket_active_2025,growth_abs,growth_pct,ticket_gap_pct
GRUPO FAUNA,0.0,0.0,0.0,0.0,,,0,0,4,0,0,0.0,,0.0,,
QUINTA DAS FRUTAS,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
GUIDOLIN,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
MONALE,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
H. MIRANDOPOLIS,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
VILA DO GRAO,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
MERCADO CIZI,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
VITORIA,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
HORTIFRUTI MAIS,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
MERKATO,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
INFANGER,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
ARMAZEM CONFIANCA,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
BENASSI,0.0,0.0,0.0,0.0,,,0,0,58,0,0,0.0,,0.0,,
ROFATTO,0.0,0.0,0.0,0.0,,,0,0,5,0,0,0.0,,0.0,,
PADARIA REAL,0.0,0.0,0.0,0.0,,,0,0,6,0,0,0.0,,0.0,,
TOPAZIO,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
MINI DOM BOSCO,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
SACOLAO,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
